District,County,Route,Road_Name,Begin_MP,End_MP,Comments,Reported_On,End_Date,latitude,longitude,Duration_Default,Duration_Hours
1,Fulton,KY-2140,KY-2140,3.0,3.0,Both directions all lanes blocked. Seek alternate route.,2023-08-04 12:03:19,2023-08-05 15:08:00,36.549454,-89.114676,1 days 03:04:41,27.0781
1,Fulton,KY-94,CATLETT ST,12.0,12.0,Both directions all lanes blocked. Seek alternate route.,2023-08-04 10:16:56,2023-08-05 13:06:01,36.567821,-89.20286,1 days 02:49:05,26.8181
1,Fulton,KY-94,E CARROLL ST,12.8,12.8,Roadway blocked due to a mudslide. Updates as available.,2023-08-04 10:16:56,2023-08-07 20:22:01,36.572408,-89.192692,3 days 10:05:05,82.0847
1,Fulton,KY-94,E CARROLL ST,12.8,12.8,Roadway blocked due to a mudslide. Seek alternate route.,2023-08-04 10:16:56,2023-08-16 10:12:00,36.572408,-89.192692,11 days 23:55:04,287.9178
1,Fulton,KY-94,E CARROLL ST,12.8,12.8,Both directions all lanes blocked. Seek alternate route.,2023-08-04 10:16:56,2023-08-05 15:06:00,36.572408,-89.192692,1 days 04:49:04,28.8178
1,Fulton,KY-94,KY-94 E,23.0,26.0,Blocked due to water over the road in the area.,2022-01-02 09:28:00,2022-01-02 18:52:00,36.55379,-88.989229,0 days 09:24:00,9.4
1,Fulton,KY-94,KY-94 E,23.0,26.0,Road is blocked due to flooding. Updates as available.,2022-01-09 14:44:00,2022-01-09 18:06:01,36.55379,-88.989229,0 days 03:22:01,3.3669
1,Fulton,KY-94,KY-94 E,23.0,26.0,Roadway blocked due to flooding. Updates as available.,2022-01-09 14:44:00,2022-04-14 17:14:00,36.55379,-88.989229,95 days 02:30:00,2282.5
1,Fulton,KY-94,KY-94 E,23.0,26.0,Blocked due to flooding in the area.,2022-02-18 07:12:00,2022-04-14 14:58:00,36.55379,-88.989229,55 days 07:46:00,1327.7667
1,Fulton,KY-94,KY-94 E,23.0,26.0,Water over roads between KY 1907 and KY 1125.,2023-01-03 11:49:44,2023-01-03 16:50:01,36.554348,-89.016468,0 days 05:00:17,5.0047
1,Fulton,KY-94,KY-94 E,23.0,26.0,Road blocked due to flooding. Seek alternate route.,2023-03-03 08:20:54,2023-03-03 10:44:00,36.554348,-89.016468,0 days 02:23:06,2.385
1,Fulton,KY-94,KY-94 E,23.0,26.0,High water over the road between KY 1907 and KY 1125.,2023-03-24 19:26:49,2023-03-24 19:32:01,36.554348,-89.016468,0 days 00:05:12,0.0867
1,Fulton,KY-94,KY-94 E,23.0,26.0,Roadway blocked due to flooding. Updates as available.,2023-03-24 23:21:49,2023-03-25 15:08:01,36.554348,-89.016468,0 days 15:46:12,15.77
1,Fulton,KY-94,KY-94 E,23.0,26.0,Both directions all lanes blocked. Seek alternate route.,2023-08-05 13:04:09,2023-08-05 15:06:00,36.554348,-89.016468,0 days 02:01:51,2.0308
